Good Weather %ile,Bike Score,Ridership,Safety,Acceleration,Network,Reach
89.33333333333333,1.8666666666666665,1.9000000000000001,2.0666666666666664,0.5333333333333333,2.2,2.6333333333333333
49.833333333333336,1.633333333333333,1.2333333333333334,1.3833333333333335,1.5,1.4666666666666666,2.1333333333333333
56.6,2.12,1.3599999999999999,2.0,1.86,2.0,2.4
15.454545454545455,1.6272727272727274,1.6454545454545455,1.718181818181818,0.6222222222222222,1.9090909090909092,1.8727272727272726
22.323529411764707,1.8323529411764705,1.6764705882352944,1.9735294117647058,1.1333333333333335,1.8441176470588234,2.026470588235295
37.125,2.3625,2.1375,2.3249999999999997,2.085714285714286,2.1125000000000003,2.0375
76.0,1.3666666666666665,1.2833333333333332,1.7833333333333332,0.5599999999999999,1.1166666666666667,2.0166666666666666
93.0,3.1,3.5,2.9,2.4,2.2,2.0
69.5,1.45,1.375,1.8,0.5,1.775,1.725
51.44444444444444,1.6777777777777778,1.6888888888888889,1.5222222222222221,0.8444444444444446,1.2888888888888888,2.1222222222222222
48.285714285714285,1.2,1.3857142857142857,1.1428571428571428,0.45999999999999996,1.1285714285714286,1.7
61.75,1.5000000000000002,1.4,1.5333333333333332,0.45,1.4249999999999998,2.225
69.2,1.6800000000000002,1.8,2.1399999999999997,0.58,2.04,1.7599999999999998
40.25,1.45,1.3250000000000002,1.65,0.7,0.9749999999999999,2.175
68.625,1.6624999999999999,1.8,1.7874999999999999,0.5333333333333333,1.8749999999999998,1.975
69.55555555555556,1.9222222222222223,1.6111111111111112,1.5555555555555556,1.4333333333333333,2.1333333333333337,2.155555555555556
54.0,1.95,1.6833333333333333,2.0500000000000003,1.18,2.033333333333333,2.2833333333333337
68.5,1.325,1.4,1.55,0.5333333333333333,1.175,1.75
57.57142857142857,1.5142857142857145,1.3428571428571427,1.2714285714285718,1.6000000000000003,1.4428571428571428,1.7714285714285716
91.5,1.7999999999999998,2.2,1.9666666666666668,1.06,1.3499999999999999,1.9166666666666667
46.0,1.925,1.575,2.3499999999999996,1.275,1.525,2.025
79.0,1.7666666666666668,1.1666666666666667,1.9000000000000001,0.8999999999999999,2.033333333333333,2.6
79.77777777777777,1.7444444444444445,1.6777777777777776,1.877777777777778,0.6499999999999999,1.877777777777778,2.377777777777778
77.33333333333333,2.016666666666666,1.7999999999999998,2.216666666666667,1.275,2.1333333333333333,2.0500000000000003
58.0,1.683333333333333,1.6166666666666665,1.55,0.5750000000000001,1.8500000000000003,2.3666666666666667
60.4,1.26,1.1,1.52,0.3666666666666667,1.1800000000000002,1.7399999999999998
62.8,1.9600000000000002,1.6800000000000002,2.0,1.0333333333333332,2.1399999999999997,2.2600000000000002
62.111111111111114,1.5000000000000002,1.422222222222222,1.8888888888888888,0.8125,1.2777777777777777,1.788888888888889
77.25,1.875,1.5750000000000002,1.9999999999999998,0.5,2.475,2.2
59.2,1.8400000000000003,1.5799999999999998,2.0000000000000004,1.0999999999999999,1.92,1.8400000000000003
74.33333333333333,1.3666666666666665,1.4333333333333333,1.9333333333333333,0.43333333333333335,1.3,1.7999999999999998
72.8,1.3,1.1600000000000001,1.3800000000000001,0.45,1.28,1.8
15.2,1.44,1.52,1.78,0.5333333333333333,1.16,1.9599999999999997
20.25,1.5750000000000002,1.5250000000000001,1.9,0.5333333333333333,2.0250000000000004,1.6500000000000001
91.66666666666667,1.8833333333333335,1.4166666666666667,1.7166666666666666,2.2666666666666666,1.3333333333333337,2.2166666666666663
82.25,1.425,1.6375,1.4625000000000001,0.5428571428571428,1.5875000000000004,1.8125
33.5,1.4249999999999998,1.5,1.65,0.5666666666666667,1.4,1.8250000000000002
67.875,2.1875,1.9625,2.425,1.8500000000000003,1.8875,2.2375000000000003
81.25,1.7000000000000002,1.75,1.7999999999999998,0.5666666666666665,1.875,2.3
86.0,1.7500000000000002,1.275,1.7000000000000002,2.3,1.425,1.8499999999999999
28.666666666666668,1.4666666666666666,1.7,1.5,0.3666666666666667,1.7,1.9333333333333333
59.25,1.7,1.5999999999999999,2.025,0.5333333333333333,2.0500000000000003,2.2
72.28571428571429,1.8571428571428572,1.3714285714285717,1.6,1.8500000000000003,1.5857142857142856,1.8571428571428572
60.6,1.53,1.53,1.64,0.8,1.44,2.0
38.25,1.7,1.7000000000000002,1.925,0.5333333333333333,2.0500000000000003,1.925
75.75,1.7625000000000002,1.6875,2.1875,0.7999999999999998,1.8375000000000001,1.8875
87.0,1.9333333333333336,1.2333333333333334,1.9666666666666668,0.7,2.066666666666667,2.766666666666667
80.625,1.775,1.775,2.0375,0.8571428571428571,2.0375,2.1
78.85714285714286,2.1285714285714286,1.9285714285714284,2.457142857142857,1.0857142857142856,2.385714285714286,2.128571428571429
75.6,1.3800000000000001,1.1,1.3599999999999999,0.45,1.9599999999999997,1.4600000000000002
50.5,1.575,1.4250000000000003,1.575,0.45,2.275,1.675
